day,length
20,1.5
28,1.52
22,1.93
31,1.98
42,1.98
42,2.12
41,2.49
29,2.48
41,3.42
62,3.02
69,2.01
81,1.98
92,1.98
106,2.01
113,2.01
108,1.48
108,2.18
113,2.44
106,2.44
103,2.56
94,2.56
93,3.0
102,3.02
109,3.02
108,3.5
101,3.53
89,3.55
81,4.03
107,4.03
132,4.01
130,5.02
160,4.54
158,4.04
186,4.04
272,5.54
271,5.06
272,4.82
270,4.53
294,7.06
293,5.57
293,5.06
294,4.48
334,6.34
334,6.07
334,5.81
334,5.33
334,5.06
333,4.56
354,6.32
348,6.08
354,5.31
349,5.23
346,4.8
354,4.8
348,4.56
346,4.32
346,4.03
394,5.55
424,5.29
442,5.58
443,5.84
443,6.11
444,6.32
443,6.81
444,7.34
