day,length
17,0.211
27,0.209
31,0.211
27,0.262
31,0.262
26,0.312
30,0.314
27,0.352
27,0.37
30,0.365
35,0.361
26,0.41200000000000003
34,0.41200000000000003
35,0.461
45,0.465
56,0.519
54,0.461
52,0.41200000000000003
40,0.314
53,0.33799999999999997
51,0.314
54,0.312
59,0.33799999999999997
59,0.312
63,0.312
59,0.29100000000000004
84,0.8130000000000001
84,0.613
91,0.517
106,0.414
106,0.363
106,0.33599999999999997
113,0.914
120,0.7110000000000001
122,0.613
120,0.465
121,0.49000000000000005
133,0.541
152,0.564
151,0.8130000000000001
172,0.97
171,0.7150000000000001
