day,length
12,0.211
12,0.362
33,0.213
26,0.264
30,0.264
32,0.264
32,0.292
23,0.329
26,0.318
32,0.313
33,0.33799999999999997
25,0.364
21,0.388
26,0.41500000000000004
26,0.46399999999999997
31,0.466
33,0.41500000000000004
40,0.41500000000000004
40,0.315
39,0.364
45,0.364
49,0.364
54,0.41500000000000004
47,0.466
53,0.47000000000000003
58,0.461
62,0.465
48,0.517
53,0.568
58,0.568
61,0.568
61,0.517
60,0.614
47,0.7190000000000001
54,0.7190000000000001
71,0.8210000000000001
93,0.718
92,0.674
83,0.618
89,0.618
102,0.62
93,0.516
140,0.772
